Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Estimating sums using grouped frequency tables,Statistics and Probability,The table below shows the distribution of test scores in a math class. <br><br> \[ \begin{array}{|c|c|} \hline \text{Score Interval} & \text{Frequency} \\ \hline 50-59 & 4 \\ 60-69 & 6 \\ 70-79 & 8 \\ 80-89 & 5 \\ 90-99 & 2 \\ \hline \end{array} \] Use the mid-point x frequency method to calculate an estimate of the total score for the class.,"To estimate the total score: <br> 
1. Calculate the mid-points of each interval. <br> 
\[ \begin{array}{|c|c|c|} \hline \text{Score Interval} & \text{Mid-point} & \text{Frequency} \\ \hline 50-59 & 54.5 & 4 \\ 60-69 & 64.5 & 6 \\ 70-79 & 74.5 & 8 \\ 80-89 & 84.5 & 5 \\ 90-99 & 94.5 & 2 \\ \hline \end{array} \]  
2. Multiply each mid-point by its corresponding frequency: <br> 
\[ \begin{array}{c} 54.5 \times 4 = 218 \\ 64.5 \times 6 = 387 \\ 74.5 \times 8 = 596 \\ 84.5 \times 5 = 422.5 \\ 94.5 \times 2 = 189 \end{array} \]  
3. Sum these values to find the estimate: <br> 
218 + 387 + 596 + 422.5 + 189 = 1812.5  
Thus, the estimated total score is 1812.5.","Misunderstanding: The student believes the estimated total score is exact rather than an approximation. They may claim: <br> ""The total score for the class by multiplying mid-point by frequency is exactly 1812.5."" This indicates they are not recognizing it as an estimate due to considering the equation as absolute.","Believes that Mid-point x Frequency in a grouped frequency table gives an accurate total, rather than an estimate.",2304
Recognise and use efficient strategies for mental addition,Adding and Subtracting with Decimals,Dora uses her technique to calculate \( 5.3 + 14.6 \). Which of the following displays her way of thinking?,\( \begin{array}{c}5+14=19 \\ 0.3+0.6=0.9 \\ 19+0.9=19.9\end{array} \),\( \begin{array}{c}5+14=19 \\ 0.3+0.6=0.9 \\ 19+0.9=19.09\end{array} \),Ignores place value when adding a whole number and a decimal,2305
"Use the order of operations to evaluate expressions containing addition, subtraction, multiplication, and division",BIDMAS,"If you evaluate the expression
\[
7+2 \times 3 - 4
\]
what should you calculate first?",\( 2 \times 3 \),\( 7+2 \),"Applies BIDMAS in strict order (does not realize addition and subtraction, and multiplication and division, are of equal priority)",2306
Simplify an algebraic fraction by factoring out the greatest common factor,Simplifying Algebraic Fractions,Write the following as simply as possible: \( \frac{8x - 4}{12x + 6} \),\( \frac{4(2x - 1)}{6(2x + 1)} = \frac{2x - 1}{3(2x + 1)} \),\( \frac{2x - 1}{3x + 1} \),Thinks you can divide the variables and the numerical values by different numbers when simplifying an algebraic fraction,2307
Convert fractions less than 1 to terminating decimals of 2 decimal places,Converting between Fractions and Decimals,Convert \( \frac{11}{50} \) into a decimal,\( 0.22 \),\( 11.50 \),Converts a fraction to a decimal by placing a decimal point between the numerator and denominator,2308
Probability of Consecutive Events,Probability and Statistics,There is a deck of 52 playing cards. You draw two cards consecutively without replacement. What is the probability that both cards are aces?,\(\frac{1}{221}\),\(\frac{1}{13}\),Thinks they can just give the probability of the first event for a combined probability,2309
Gradient Finding from Coordinate Points,Coordinate Geometry,"Find the gradient of the straight line passing through the points \(A(3, 4)\) and \(B(7, 12)\). What is the correct gradient?",The gradient \(m\) is calculated using the formula \(m = \frac{y_2 - y_1}{x_2 - x_1} = \frac{12 - 4}{7 - 3} = \frac{8}{4} = 2\).,"Instead of properly calculating the gradient, the student incorrectly uses the formula division for distance: \(\frac{7 - 3}{12 - 4} = \frac{4}{8} = 0.5\).",Does not know how to find the gradient of a straight line from two points,2310
Use of Addition in Real-Life Scenarios,Application of Basic Operations,Sara bought 20 apples and then bought an additional 8 apples. How many apples does she have altogether?,20 + 8 = 28,20 ÷ 8 = 2.5,Divides rather than adds when answering worded problems,2311
Understanding Congruence and Similarity in Quadrilaterals,Congruency in Quadrilaterals,"Tom and Katie are discussing a pair of shapes. Tom claims that two rectangles are congruent because they have the same shape. Katie claims the rectangles are similar because their corresponding angles are equal. The first rectangle measures 4 cm by 6 cm, and the second rectangle measures 8 cm by 12 cm. Who is correct?",Only Katie,Only Tom,Thinks congruent shapes are the same shape but can be different sizes,2312
Distinguishing between discrete and continuous data,Descriptive Statistics,"Maria conducted a survey asking her classmates about their shoe sizes and their time spent on daily exercise. During analysis, indicate which measurement is discrete and which is continuous.",Shoe sizes are discrete data; time spent on daily exercise is continuous data.,Shoe sizes are continuous data; time spent on daily exercise is discrete data.,Mixes up discrete and continuous data types,2313
Determine the unit rate in a proportional relationship,Ratios and Proportions,Jessica drove a total of 300 miles over 4 hours. Calculate her average speed in miles per hour.,"\( 75 \, \text{miles per hour} \)","\( 1200 \, \text{miles per hour} \)",Multiplies instead of divides to find one part given the total,2314
Identify correlation type from a scatter plot,Statistics and Probability,Examine the scatter plot of students' number of study hours and their test scores. Determine the type of correlation between studying hours and test scores.,Positive Correlation,Negative Correlation,Confuses negative and positive correlation,2315
Determine if a number is a perfect square,Number Theory,Is 49 a perfect square?,Yes,No,Mixes up squaring and multiplying by 2 or doubling,2316
Recognize and extend arithmetic sequences in whole numbers,Arithmetic Sequences and Series,"\( \begin{array}{llll}12, & 10, & 8, & ? \end{array} \) 

What is the next term in this arithmetic sequence?",\( 6 \),\( 7 \),"When asked for the next term in the sequence subtracts one from the last term given, despite the sequence not going down in ones.",2317
Interpret data points on a coordinate plane and calculate distances,Coordinate Geometry,"![Coordinate plane with points A(1,2), B(4,6), C(3,1), and D(5,2)]() Calculate the distance between points B and D.",\( \sqrt{13} \) or approximately \( 3.61 \),\( \sqrt{10} \) or approximately \( 3.16 \),Has used the wrong data point on the graph,2318
Understanding the concept of range in statistics,Basic Statistics,"You have the heights of a group of people presented in centimeters as follows:
\(
\begin{array}{cccccc}
160 & 172 & 180 & 185 & 190 & 200
\end{array}
\)
Calculate the range of these heights.","\( 200 - 160 = 40 \, \text{cm} \)","\( 160 - 200 = -40 \, \text{cm} \)",subtracts the highest from the lowest when calculating the range,2319
Use direct proportion to scale quantities in everyday scenarios (e.g. consumable items),Direct Proportion,A car uses 12 liters of fuel to travel 96 kilometers. How much fuel will it use to travel 24 kilometers?,3 liters,84 liters,Subtracts rather than divides when scaling down in direct proportion problems,2320
Identify place and value in multi-digit numbers,Number and Operations in Base Ten,"What is the \( 3^{\text{rd}} \) digit in the number 5,784?",\( 8 \),\( 7 \),does not know the meaning of the word digit,2321
Understanding percentages as a fraction of a number,Calculating Percentage Values,What is 25% of 120?,\( 30 \),\( 3000 \),Believes a percentage of a number will be a multiple of the percentage,2322
Comparing and ordering decimals from smallest to largest,Ordering Decimals,"Order the following decimals from smallest to largest: 0.7, 0.56, 0.88, 0.9","\( 0.56, 0.7, 0.88, 0.9 \)","\( 0.9, 0.88, 0.7, 0.56 \)","When ordering decimals, believes the decimal point is not relevant",2323
"Understand and identify the elements of a linear equation, specifically the slope and y-intercept",Graphing Linear Equations,Find the y-intercept of the line represented by the equation \( y = 2x + 3 \).,The y-intercept is \(3\).,The y-intercept is \(x = -\frac{3}{2}\).,Believes the y-intercept of a line is the root of its equation,2324
Understanding probabilities in context,Probability based on frequency of events,"A jar contains 4 red marbles, 2 blue marbles, and 6 green marbles. If a marble is randomly picked from the jar, what is the probability that it is blue?",\(\frac{1}{6}\),\(\frac{1}{3}\),Believes data implies equal chance of selection,2325
Adding and Subtracting Fractions with Like Denominators and Different Numerators,Fractions,What is the sum of the fractions \( \frac{3}{5} + \frac{2}{5} \)?,\( \frac{5}{5} = 1 \),\( \frac{6}{25} \),Multiplies rather than adds ,2326
Reading and Interpreting Numbers in Standard Form,Number Sense and Numeration,"Read the following numeral and write it in words:  
\( 1\ 234\ 567 \)","One million, two hundred thirty-four thousand, five hundred sixty-seven","One million, two hundred thirty-four, five hundred sixty-seven",Does not understand that a space can be used to separate the thousands column from the hundreds column,2327
Estimate the total population using the capture-recapture method,Statistics and Probability,"A researcher wants to estimate the number of fish in a lake. They first capture and mark \( 40 \) fish and release them back into the lake. Later, another sample of \( 50 \) fish is captured, \( 10 \) of which are found to be marked. Estimate the total population of the fish in the lake.",\( 200 \),\( 80 \),"When using the capture-recapture method, believes the number caught second is the numerator and the number marked second is the denominator",2328
Division with Remainders in Real-life Contexts,Applied Division and Problem Solving,"George is cutting a 65-foot long ribbon into pieces that are 8 feet long each. After cutting as many 8-foot pieces as possible, how much ribbon will George have left?",1 foot of ribbon left,7 feet of ribbon left,Thinks the remainder is the difference between the dividend and the next biggest multiple,2329
Round numbers to one decimal place,Rounding to Decimal Places,Round \( 46.7829 \) to \( 1 \) decimal place.,\( 46.8 \),\( 47.8 \),Rounds incorrectly by changing multiple place values,2330
"Given the sector angle on a pie chart, calculate the frequency of a group",Pie Chart,"The pie chart shows the favourite activities of students during the summer break.

If \( 15 \) students went hiking, how many went swimming? ![A pie chart split into four parts, labelled with activities. The part for Reading is 90 degrees, Hiking is 60 degrees, Swimming is 120 degrees, and Traveling is 90 degrees.]()",\( 30 \),\( 120 \),Believes the angle in a pie chart sector is equal to the frequency,2331
